id,data_ora,username,testo,mentions,in_reply_to,retweet,like,risposte,url
2027534885125005810,2026-02-28T00:02:41.000Z,Adnkronos,"Iran, il verdetto di Trump e l'apertura di Teheran per evitare l'attacco",,,0,0,0,https://x.com/Adnkronos/status/2027534885125005810
2027637345999098247,2026-02-28T06:49:49.000Z,Agenzia_Ansa,"MEDIO ORIENTE | ""Attacchi missilistici limitati"" da parte di Israele sono avvenuti a Teheran: lo riporta l'agenzia Fars, secondo cui sono avvenute ""tre esplosioni"" nel centro della capitale iraniana, nei pressi di via Pasteur. #ANSA",,,11,59,2,https://x.com/Agenzia_Ansa/status/2027637345999098247
2027636685421396109,2026-02-28T06:47:12.000Z,giovamartinelli,"A dimostrazione del fatto che (inevitabilmente) la situazione è ancora molto ""fluida"", si aggiunge che alunne fonti riportano la notizia secondo la quale quelli in corso sull'#Iran sarebbero ""strike"" condotti già in maniera coordinata da #Israele e #USA.",,,1,31,2,https://x.com/giovamartinelli/status/2027636685421396109
2027637683518947684,2026-02-28T06:51:10.000Z,Murandrea1,"Lo avevamo pronosticato, a iniziare è stata Israele: Tel Aviv all'attacco di Teheran. ""Attacco preventivo"" dice Katz. Colpiti pasdaran e siti missilistici. Situazione in evoluzione. La seguiremo.",,,6,19,0,https://x.com/Murandrea1/status/2027637683518947684
2027636162181869596,2026-02-28T06:45:07.000Z,ultimoranet," FLASH — ISRAELE BOMBARDA TEHERAN: ""LANCIATO ATTACCO PREVENTIVO CONTRO L'IRAN""

Israele dichiara lo stato di emergenza nazionale e chiude il suo spazio aereo 
@ultimoranet",ultimoranet,,714,23,145,https://x.com/ultimoranet/status/2027636162181869596
2027629629301768529,2026-02-28T06:19:09.000Z,GeopoliticalCen,Un attacco aereo è stato svolto pochi minuti fa contro l’Iran,,,7,85,1,https://x.com/GeopoliticalCen/status/2027629629301768529
2027633475335934433,2026-02-28T06:34:26.000Z,ROBZIK,"Il ministro della Difesa israeliano Israel Katz ha dichiarato che il suo Paese ha lanciato un attacco ""preventivo"" contro l'Iran
Katz ha anche annunciato lo stato di emergenza in Israele in previsione di attacchi di ritorsione da parte iraniana.",,,4,2,0,https://x.com/ROBZIK/status/2027633475335934433
2027636339567464579,2026-02-28T06:45:49.000Z,Radio1Rai," ""Israele ha lanciato un attacco preventivo all'Iran per rimuovere le minacce allo Stato"", ""Si prevede un attacco missilistico e con droni contro lo Stato di Israele e la popolazione civile nell'immediato futuro"", è l'annuncio del ministro della Difesa israeliano #Katz",,,5,0,4,https://x.com/Radio1Rai/status/2027636339567464579
2027639521924252017,2026-02-28T06:58:28.000Z,MonicaBergamas9,"Pesanti attacchi dei caccia israeliani in questo momento sulla capitale iraniana Teheran.
Israele ed Usa in attacco congiunto contro il paese sciita.",,,41,48,3,https://x.com/MonicaBergamas9/status/2027639521924252017
2027637852171809271,2026-02-28T06:51:50.000Z,alanfriedmanit,Meno male che questi due membri del Board of Peace hanno negoziato con Iran per evitare una guerra.,,,150,637,39,https://x.com/alanfriedmanit/status/2027637852171809271
2027638128014479434,2026-02-28T06:52:56.000Z,giovamartinelli,"Un paio di aggiornamenti importanti.
1) in questo memento sono in corso ""assasination strikes"" in #Iran;
2) quanto in pieno svolgimento è una operazione congiunta #Israele più #USA.",,,5,21,3,https://x.com/giovamartinelli/status/2027638128014479434
2027634026090004724,2026-02-28T06:36:38.000Z,Antonio_Tajani,#Iran Seguo gli sviluppi della situazione in costante contatto con le Ambasciate d’Italia a Teheran ed a Tel Aviv.Priorità:la sicurezza dei nostri connazionali.Alla Farnesina al lavoro l’Unità di crisi.,,,45,253,242,https://x.com/Antonio_Tajani/status/2027634026090004724
2027628928429392146,2026-02-28T06:16:22.000Z,GeopoliticalCen,Il comando di difesa interno di Israele potrebbe mettere presto nuove linee guida,,,3,52,0,https://x.com/GeopoliticalCen/status/2027628928429392146
2027638202169713126,2026-02-28T06:53:13.000Z,cavicchioli,"Secondo me, il vero piano potrebbe essere quello di prendere il controllo del petrolio iraniano, da parte degli USA, come già fatto in Venezuela. 

Israele in questo caso starebbe semplicemente dando una mano a Trump per il conseguimento dei suoi obiettivi. Il vecchio porco",,,0,18,16,https://x.com/cavicchioli/status/2027638202169713126
2027638996814242080,2026-02-28T06:56:23.000Z,elisamariastel1,"Circa 30 obiettivi in tutto l'Iran sono stati attaccati, inclusa la residenza del leader iraniano e il quartier generale dell'intelligence del Corpo delle Guardie Rivoluzionarie Islamiche, secondo fonti israeliane.

Secondo le stime israeliane, non è prevista alcuna risposta",,,14,34,3,https://x.com/elisamariastel1/status/2027638996814242080
2027639521601273912,2026-02-28T06:58:28.000Z,tempoweb,"#Israele, scatta l'attacco all'#Iran: ""Azione preventiva"". Trema #Khamenei",,,16,55,4,https://x.com/tempoweb/status/2027639521601273912
2027633727283585463,2026-02-28T06:35:26.000Z,vadim07751823,"Israele ha attaccato l'Iran.

Purtroppo era tutto già scritto",,,24,78,11,https://x.com/vadim07751823/status/2027633727283585463
2027638606160855153,2026-02-28T06:54:50.000Z,elisamariastel1,"Israele ha lanciato un attacco ""preventivo"" contro l'Iran, poiché alcuni testimoni affermano di aver udito delle esplosioni nella capitale iraniana, Teheran, secondo quanto riportato dall'agenzia di stampa Reuters.",,,0,2,0,https://x.com/elisamariastel1/status/2027638606160855153
2027637331381948633,2026-02-28T06:49:46.000Z,Today_it,"Israele ha attaccato l'Iran: ""Un'azione preventiva"". Esplosioni a Teheran 
https://
ift.tt/7DrMs6k",,,0,0,0,https://x.com/Today_it/status/2027637331381948633
2027639770143170758,2026-02-28T06:59:27.000Z,FantomasRitorna,"ATTENZIONE  Iran 

Distrutta la residenza di Khamenei a Teheran 

Le prossime settimane daranno forma ai prossimi decenni in Medio Oriente.",,,13,118,4,https://x.com/FantomasRitorna/status/2027639770143170758
2027637442501627958,2026-02-28T06:50:12.000Z,meltingmax,Il 28/02/2026 nel giorno di sabato Israele causa il primo passo verso la terza guerra mondiale.,,,72,776,18,https://x.com/meltingmax/status/2027637442501627958
2027635800729391135,2026-02-28T06:43:41.000Z,Italia24HLive,"Iniziate le cancellazioni dei voli dall'Aeroporto di Roma-Fiumicino all'Aeroporto di Tel Aviv - Ben Gurion a causa della chiusura dello spazio aereo israeliano.

Previste cancellazioni anche da Milano - Malpensa. E' in corso un attacco combinato USA-Israele contro l'Iran.",,,10,36,0,https://x.com/Italia24HLive/status/2027635800729391135
2027637753660232133,2026-02-28T06:51:26.000Z,not_contro,"Israele bombarda l'Iran
Secondo il ministero della Difesa israeliano è un attacco preventivo.
Fine dei negoziati USA e Iran e inizio guerra in Medio Oriente? Mi fa più paura la diretta di Mentana
#Iran #USA #Israele #Netanyahu #Teheran #guerra #MedioOriente #nucleare #Trump",,,4,11,0,https://x.com/not_contro/status/2027637753660232133
2027634838312804839,2026-02-28T06:39:51.000Z,Adnkronos,"Iran, Israele: ""Abbiamo lanciato attacco preventivo""",,,5,3,13,https://x.com/Adnkronos/status/2027634838312804839
